iter	Logloss
0	0.6869054149
1	0.6799279379
2	0.6738198835
3	0.6679421143
4	0.6625753205
5	0.6567528532
6	0.6517538231
7	0.6472636781
8	0.6430597772
9	0.6395262477
10	0.6356839592
11	0.6325797064
12	0.629597942
13	0.6267042664
14	0.6235532518
15	0.6208453692
16	0.6179434521
17	0.6154926098
18	0.6133615154
19	0.6110537654
20	0.6091280525
21	0.6073156906
22	0.6054375158
23	0.6035103695
24	0.6016858842
25	0.600182341
26	0.5984928258
27	0.596873065
28	0.5950513866
29	0.5935624752
30	0.5922742273
31	0.5910603921
32	0.5897669484
33	0.5885826753
34	0.5873337837
35	0.5861661131
36	0.5854205525
37	0.5841540432
38	0.583067056
39	0.582254309
40	0.5815827431
41	0.5805275277
42	0.5794574417
43	0.5786123854
44	0.5780798507
45	0.5773581787
46	0.5766609923
47	0.5758171305
48	0.5749798978
49	0.5741644036
50	0.5733183321
51	0.5724260961
52	0.571560436
53	0.5710168529
54	0.5704760766
55	0.5698073773
56	0.5691042189
57	0.5686014254
58	0.5680954069
59	0.5674885192
60	0.5668023813
61	0.5660335892
62	0.5655771991
63	0.5648884932
64	0.5642677501
65	0.5636740011
66	0.563132329
67	0.5624475647
68	0.5619783943
69	0.561635833
70	0.5612188589
71	0.5607279499
72	0.5600126681
73	0.5591808103
74	0.5586170413
75	0.5579703792
76	0.5574689593
77	0.5569825891
78	0.556392065
79	0.5557501806
80	0.5552384886
81	0.5548993314
82	0.5544908975
83	0.5540603668
84	0.5536573675
85	0.553274136
86	0.5527430943
87	0.5523717473
88	0.5518860938
89	0.5513590535
90	0.5507856694
91	0.5501381115
92	0.5496074878
93	0.5491958887
94	0.5485642763
95	0.5481735797
96	0.5476614696
97	0.5472086628
98	0.546561941
99	0.5460608794
100	0.545506845
101	0.5450606673
102	0.5448130628
103	0.5443719614
104	0.5439555846
105	0.5436111122
106	0.5431629039
107	0.5429728708
108	0.5426284581
109	0.5419911125
110	0.5413884053
111	0.5409759701
112	0.5405847956
113	0.5401085781
114	0.5400397792
115	0.5396249551
116	0.5392414847
117	0.5389249619
118	0.5383757649
119	0.5379418898
120	0.5375273046
121	0.5371154666
122	0.5366526863
123	0.5364184594
124	0.5359499459
125	0.5357394284
126	0.5354243986
127	0.5349953011
128	0.5346041267
129	0.534205069
130	0.5338430386
131	0.5335272922
132	0.5331299664
133	0.5329557594
134	0.5326353547
135	0.5325024749
136	0.5322170071
137	0.5317188121
138	0.5312593762
139	0.5308659921
140	0.5303892371
141	0.5300581423
142	0.5296947382
143	0.5293736169
144	0.5289264836
145	0.5285496422
146	0.5284115666
147	0.5279790651
148	0.5275649577
149	0.5272911953
150	0.5270730931
151	0.5267163181
152	0.5263196494
153	0.5260214012
154	0.5257468625
155	0.5254907179
156	0.5252340955
157	0.5249336974
158	0.5244533591
159	0.5240768761
160	0.5237823904
161	0.5234818132
162	0.5231627821
163	0.5228034988
164	0.5225085951
165	0.5220053835
166	0.521830639
167	0.5214652642
168	0.5210583233
169	0.5207422186
170	0.5204001947
171	0.5200499891
172	0.5194924909
173	0.5192363463
174	0.518806353
175	0.5185097174
176	0.5182879722
177	0.5179076073
178	0.5176773818
179	0.5174072624
180	0.5168467781
181	0.5165902155
182	0.516221974
183	0.5159146482
184	0.515596931
185	0.5151275217
186	0.5149362941
187	0.5145573625
188	0.5142294927
189	0.5139971171
190	0.5137676679
191	0.5133154584
192	0.5129431558
193	0.5125565202
194	0.5121992675
195	0.5119668322
196	0.5116408137
197	0.511519042
198	0.5112694668
199	0.5110180999
200	0.5108469984
201	0.5106893939
202	0.5105314908
203	0.5102984583
204	0.5098927119
205	0.5094674366
206	0.509239361
207	0.5088579809
208	0.5085529245
209	0.5082675762
210	0.5079367203
211	0.5076329778
212	0.5074059175
213	0.5068958977
214	0.5064958845
215	0.5061503968
216	0.5058329782
217	0.5055540798
218	0.5053407553
219	0.5051309545
220	0.5047333898
221	0.5044051019
222	0.5040167941
223	0.5038161306
224	0.5033484532
225	0.502986363
226	0.5028005104
227	0.502586947
228	0.5022236624
229	0.5020035895
230	0.5015626075
231	0.5013448637
232	0.5010506169
233	0.5004489249
234	0.5002454844
235	0.5000097346
236	0.4997135767
237	0.4994789915
238	0.4992152026
239	0.498875269
240	0.4986249173
241	0.4983492439
242	0.4981159725
243	0.4978275187
244	0.4976379932
245	0.4974447053
246	0.4972482819
247	0.4969401798
248	0.4965960658
249	0.4964746524
250	0.4962513246
251	0.4959282026
252	0.4954996426
253	0.4951209499
254	0.4948963083
255	0.494589102
256	0.4942511392
257	0.4939000079
258	0.4936644672
259	0.4934993378
260	0.4934052768
261	0.4929996498
262	0.4926236147
263	0.4924119923
264	0.492081435
265	0.4918422512
266	0.4916728219
267	0.4913032965
268	0.4910045109
269	0.4908531771
270	0.4907004399
271	0.4902833166
272	0.4899732138
273	0.4896494647
274	0.4893939173
275	0.4891279486
276	0.4890396805
277	0.4888228624
278	0.4885771988
279	0.4882967775
280	0.4880003808
281	0.4877044319
282	0.4872841434
283	0.487108294
284	0.4868818011
285	0.4866696412
286	0.4863032809
287	0.4860328928
288	0.4856863302
289	0.4854168976
290	0.4852118744
291	0.4851331916
292	0.4848436628
293	0.4845217053
294	0.4841526875
295	0.4838878535
296	0.4837119145
297	0.4832562113
298	0.4830317488
299	0.4826491145
300	0.4825008564
301	0.4823458797
302	0.4822324391
303	0.4820204584
304	0.4816858698
305	0.4815851499
306	0.4814590185
307	0.4812026052
308	0.4808342741
309	0.480540744
310	0.4803372139
311	0.4801156479
312	0.4797778643
313	0.4792275028
314	0.4788500045
315	0.4785345566
316	0.4783438069
317	0.477871292
318	0.4776662688
319	0.4774597526
320	0.4772413817
321	0.4769816837
322	0.4766013786
323	0.4764566142
324	0.4760812061
325	0.475970453
326	0.4757355393
327	0.4754787975
328	0.4749934426
329	0.4747476298
330	0.4745140598
331	0.4742123777
332	0.4738993785
333	0.473704926
334	0.4734124708
335	0.4731796175
336	0.4730605631
337	0.4728146309
338	0.4727144185
339	0.472437252
340	0.4721656993
341	0.4719880584
342	0.47188271
343	0.4715051819
344	0.4712703578
345	0.4711412702
346	0.4707411675
347	0.470495922
348	0.4703542034
349	0.469898739
350	0.4696728133
351	0.4692737557
352	0.4689290146
353	0.468574509
354	0.4683589151
355	0.4680426013
356	0.4677432782
357	0.4673766493
358	0.4671483646
359	0.4668957735
360	0.466710309
361	0.4664778439
362	0.4662495593
363	0.4657684147
364	0.4654686138
365	0.4652859563
366	0.4651041647
367	0.4647971973
368	0.4643945265
369	0.4640059201
370	0.4637651238
371	0.4635314046
372	0.4632398452
373	0.4631159833
374	0.4629565573
375	0.4627673304
376	0.4625514977
377	0.4622992349
378	0.4620303697
379	0.4619897891
380	0.4616861063
381	0.4614454296
382	0.4611215909
383	0.4609251974
384	0.4606112426
385	0.4604059208
