iter	Passed	Remaining
0	137	137466
1	140	70282
2	143	47824
3	147	36642
4	149	29755
5	152	25287
6	156	22182
7	159	19813
8	163	18005
9	167	16543
10	171	15446
11	176	14517
12	179	13661
13	183	12914
14	186	12270
15	190	11687
16	193	11169
17	196	10720
18	199	10311
19	203	9953
20	206	9632
21	210	9344
22	213	9085
23	217	8828
24	221	8619
25	224	8424
26	228	8246
27	232	8085
28	237	7937
29	240	7786
30	244	7631
31	247	7487
32	251	7357
33	254	7223
34	257	7101
35	260	6988
36	264	6880
37	267	6782
38	271	6679
39	274	6591
40	278	6502
41	281	6418
42	284	6335
43	287	6254
44	290	6174
45	294	6101
46	297	6032
47	300	5966
48	304	5916
49	308	5858
50	323	6024
51	336	6135
52	346	6186
53	356	6241
54	361	6212
55	391	6600
56	395	6544
57	400	6500
58	403	6439
59	407	6388
60	412	6352
61	416	6306
62	420	6255
63	424	6204
64	427	6152
65	431	6106
66	434	6056
67	438	6011
68	442	5972
69	446	5928
70	450	5889
71	454	5852
72	458	5817
73	463	5801
74	469	5795
75	474	5768
76	479	5741
77	482	5708
78	487	5680
79	491	5653
80	496	5628
81	499	5590
82	503	5561
83	507	5531
84	511	5506
85	515	5478
86	520	5460
87	524	5431
88	528	5407
89	531	5377
90	535	5347
91	539	5320
92	542	5294
93	546	5266
94	550	5242
95	554	5217
96	557	5189
97	561	5164
98	564	5141
99	568	5118
100	572	5097
101	577	5083
102	580	5057
103	583	5031
104	587	5009
105	591	4988
106	595	4966
107	598	4944
108	602	4925
109	606	4905
110	610	4886
111	613	4868
112	617	4850
113	621	4831
114	624	4802
115	627	4782
116	631	4763
117	634	4743
118	638	4723
119	641	4705
120	645	4688
121	648	4669
122	652	4651
123	656	4634
124	659	4617
125	663	4601
126	667	4586
127	671	4572
128	674	4556
129	678	4541
130	682	4527
131	686	4512
132	690	4503
133	694	4487
134	697	4470
135	700	4453
136	704	4439
137	708	4422
138	711	4406
139	714	4390
140	718	4374
141	721	4360
142	725	4345
143	728	4330
144	731	4314
145	735	4300
146	738	4286
147	742	4277
148	746	4263
149	749	4249
150	753	4237
151	757	4224
152	760	4211
153	764	4197
154	767	4184
155	772	4177
156	775	4164
157	779	4153
158	783	4141
159	786	4131
160	790	4118
161	793	4106
162	797	4094
163	800	4083
164	804	4070
165	807	4057
166	810	4043
167	814	4033
168	818	4025
169	822	4014
170	825	4003
171	829	3993
172	833	3985
173	837	3977
174	841	3968
175	845	3957
176	848	3946
177	852	3936
178	856	3926
179	859	3915
180	863	3906
181	867	3897
182	870	3886
183	873	3875
184	877	3864
185	881	3858
186	885	3849
187	889	3840
188	893	3833
189	897	3826
190	901	3818
191	905	3810
192	909	3801
193	912	3793
194	916	3785
195	920	3775
196	924	3766
197	927	3756
198	931	3748
199	935	3740
200	938	3732
201	942	3722
202	945	3712
203	949	3704
204	952	3694
205	956	3686
206	959	3677
207	963	3669
208	967	3660
209	971	3653
210	974	3645
211	978	3637
212	982	3629
213	986	3622
214	990	3614
215	993	3605
216	997	3598
217	1004	3603
218	1007	3594
219	1011	3587
220	1015	3578
221	1018	3569
222	1021	3560
223	1025	3551
224	1028	3543
225	1032	3535
226	1035	3526
227	1039	3519
228	1042	3511
229	1046	3503
230	1050	3497
231	1054	3489
232	1057	3482
233	1061	3475
234	1064	3466
235	1068	3458
236	1072	3451
237	1075	3444
238	1079	3437
239	1083	3429
240	1086	3423
241	1090	3415
242	1094	3408
243	1098	3402
244	1101	3394
245	1103	3383
246	1107	3376
247	1111	3369
248	1114	3361
249	1117	3353
250	1121	3346
251	1125	3340
252	1129	3334
253	1132	3327
254	1136	3320
255	1140	3313
256	1143	3307
257	1147	3301
258	1151	3294
259	1155	3290
260	1160	3284
261	1164	3278
262	1168	3273
263	1171	3267
264	1175	3259
265	1178	3253
266	1182	3246
267	1185	3239
268	1189	3233
269	1193	3228
270	1198	3224
271	1202	3219
272	1207	3214
273	1211	3210
274	1215	3205
275	1219	3198
276	1223	3192
277	1226	3185
278	1229	3178
279	1233	3171
280	1236	3164
281	1239	3157
282	1243	3150
283	1247	3144
284	1250	3137
285	1255	3134
286	1259	3129
287	1263	3123
288	1266	3116
289	1271	3112
290	1274	3105
291	1278	3099
292	1281	3092
293	1284	3084
294	1288	3079
295	1292	3073
296	1295	3066
297	1299	3061
298	1303	3055
299	1306	3049
300	1310	3042
301	1313	3036
302	1317	3029
303	1320	3023
304	1324	3018
305	1328	3011
306	1331	3005
307	1335	3000
308	1339	2995
309	1342	2989
310	1346	2982
311	1349	2976
312	1353	2970
313	1356	2964
314	1360	2958
315	1363	2951
316	1367	2945
317	1370	2939
318	1373	2933
319	1377	2926
320	1380	2920
321	1385	2916
322	1388	2910
323	1392	2904
324	1396	2899
325	1399	2894
326	1403	2888
327	1407	2883
328	1411	2878
329	1415	2872
330	1418	2867
331	1421	2861
332	1425	2855
333	1429	2849
334	1432	2844
335	1436	2838
336	1443	2838
337	1446	2833
338	1449	2826
339	1453	2820
340	1456	2814
341	1459	2808
342	1463	2802
343	1466	2797
344	1470	2791
345	1474	2786
346	1477	2781
347	1481	2776
348	1486	2771
349	1489	2766
350	1493	2760
351	1500	2761
352	1503	2754
353	1506	2748
354	1510	2743
355	1513	2738
356	1517	2732
357	1520	2726
358	1524	2722
359	1528	2717
360	1532	2711
361	1535	2706
362	1539	2701
